KCNG1	ZNRF4
ITPR2	ZNRF4
GRAMD1A	ZNRF4
FZD6	ZNRF4
FBXO11	ZNRF4
FAM189B	ZNRF4
ERN1	ZNRF4
DAGLA	ZNRF4
CYB5R1	ZNRF4
CGRRF1	ZNRF4
CANX	ZNRF4
C2CD2L	ZNRF4
C1orf43	ZNRF4
BTN2A2	ZNRF4
BTN2A1	ZNRF4
BNIP1	ZNRF4
ATP13A2	ZNRF4
AREL1	ZNRF4
AMFR	ZNRF4
ADGRL1	ZNRF4
ADCY6	ZNRF4
ADCK2	ZNRF4
ACVR2B	ZNRF4
ABCA3	ZNRF4
ABCA2	ZNRF4
UBE2N	ZNRF3
TCF4	ZNRF3
LRP6	ZNRF3
LGR5	ZNRF3
LGR4	ZNRF3
HSPB1	ZNRF3
GFI1B	ZNRF3
FZD4	ZNRF3
DVL2	ZNRF3
C3orf52	ZNRF3
USHBP1	ZNRF2P1
KRTAP10-3	ZNRF2P1
KRT40	ZNRF2P1
KRT31	ZNRF2P1
HNRNPK	ZNRF2P1
CCNDBP1	ZNRF2P1
ZNRF1	ZNRF2
YWHAQ	ZNRF2
WDR5B	ZNRF2
UBE2N	ZNRF2
UBE2E1	ZNRF2
UBE2D4	ZNRF2
UBE2D3	ZNRF2
UBE2D2	ZNRF2
UBE2D1	ZNRF2
UBC	ZNRF2
MTOR	ZNRF2
ATP1A2	ZNRF2
ATP1A1	ZNRF2
YWHAQ	ZNRF1
UBXN7	ZNRF1
UBE2W	ZNRF1
UBE2V2	ZNRF1
UBE2V1	ZNRF1
UBE2N	ZNRF1
UBE2E3	ZNRF1
UBE2E2	ZNRF1
UBE2E1	ZNRF1
UBE2D4	ZNRF1
UBE2D3	ZNRF1
UBE2D2	ZNRF1
UBE2D1	ZNRF1
UBC	ZNRF1
TSEN2	ZNRF1
NMT2	ZNRF1
NCEH1	ZNRF1
GLUL	ZNRF1
FOXA2	ZNRF1
FOXA1	ZNRF1
FBXW5	ZNRF1
CDC34	ZNRF1
ATP1A2	ZNRF1
ATP1A1	ZNRF1
ZYX	ZNRD2
ZRANB2	ZNRD2
ZPR1	ZNRD2
ZNRD2	ZNRD2
ZMYM5	ZNRD2
VPS4B	ZNRD2
VPS26A	ZNRD2
USP9X	ZNRD2
USP34	ZNRD2
UCHL3	ZNRD2
UBE4B	ZNRD2
UBE2V2	ZNRD2
UBE2V1	ZNRD2
UBE2I	ZNRD2
UBE2D2	ZNRD2
UBE2D1	ZNRD2
UBE2B	ZNRD2
UBC	ZNRD2
UBB	ZNRD2
UBA52	ZNRD2
TYMS	ZNRD2
TXN	ZNRD2
TTC1	ZNRD2
TRIP6	ZNRD2
TPD52L2	ZNRD2
TNKS	ZNRD2
TLE3	ZNRD2
TKT	ZNRD2
TBCA	ZNRD2
TAGLN2	ZNRD2
TACC3	ZNRD2
SUPT3H	ZNRD2
SUMO2	ZNRD2
SUMO1	ZNRD2
SULT1A1	ZNRD2
STMN1	ZNRD2
STAT6	ZNRD2
STAT3	ZNRD2
STAM	ZNRD2
SNCG	ZNRD2
SNAPC5	ZNRD2
SBF1	ZNRD2
S100A9	ZNRD2
RPS4X	ZNRD2
RPL23	ZNRD2
RNF4	ZNRD2
PIAS2	ZNRD2
PER1	ZNRD2
NME6	ZNRD2
NIT1	ZNRD2
MYO1D	ZNRD2
MAP7	ZNRD2
LAGE3	ZNRD2
KIF20A	ZNRD2
IL16	ZNRD2
HERC2	ZNRD2
GTF2F1	ZNRD2
GABPA	ZNRD2
FXR2	ZNRD2
FLII	ZNRD2
ENDOG	ZNRD2
DPH1	ZNRD2
DDB2	ZNRD2
CDC20	ZNRD2
CCT3	ZNRD2
CCNH	ZNRD2
AURKA	ZNRD2
ATP6V1F	ZNRD2
ATP6V1B2	ZNRD2
ACTN2	ZNRD2
SP2	ZNRD1ASP
JUND	ZNRD1ASP
JUN	ZNRD1ASP
ZNHIT6	ZNHIT6
UBC	ZNHIT6
TGM5	ZNHIT6
SUMO2	ZNHIT6
SMAD2	ZNHIT6
SKAP1	ZNHIT6
